价格带地下车位 圭塘河畔 万科自住三房 房东诚售！,万科金域华府 -武广新城,3室2厅 | 87.12平米 | 西南 | 精装 | 中楼层(共34层)  | 板塔结合,0人关注 / 6天以前发布,136,"15,611元/平"
上新 市府板块 精装小三房 近地铁口,西城龙庭 -河西步步高,3室2厅 | 94.61平米 | 南 | 其他 | 低楼层(共28层) | 2010年建 | 板塔结合,0人关注 / 7天以前发布,110,"11,627元/平"
满五唯一 楼层好 业主诚心出售 价格可谈,润和又一城 -金星北,4室1厅 | 116平米 | 南 | 其他 | 中楼层(共33层) | 2014年建 | 塔楼,1人关注 / 6天以前发布,119,"10,259元/平"
松雅湖边上居家大三房即买即住随时看房,国泰九龙湾 -松雅湖,3室2厅 | 105.9平米 | 南 | 精装 | 低楼层(共34层)  | 塔楼,0人关注 / 2天以前发布,124.8,"11,785元/平"
武广高铁次新小区，精装修自住，诚意出售，看房方便,阳光城尚东湾 -武广新城,3室2厅 | 114.89平米 | 南 | 精装 | 低楼层(共33层) | 2016年建 | 塔楼,0人关注 / 6天以前发布,138,"12,012元/平"
校内房子 安静 装了电梯 随时看房 采光好,静宜园小区 -王家湾,3室2厅 | 84.39平米 | 南 | 其他 | 低楼层(共7层) | 1995年建 | 板楼,0人关注 / 5天以前发布,70,"8,295元/平"
稀有大错层，客厅挑高，舒适度高，户型周正，环境好,佳润新都 -桂花村,3室2厅 | 110.13平米 | 南 | 精装 | 中楼层(共12层) | 2002年建 | 塔楼,0人关注 / 3天以前发布,132.6,"12,041元/平"
高桥地铁口，拎包入住大三房，成熟商圈，交通便利,上河国际花园C区 -高桥,3室2厅 | 122平米 | 南 北 | 其他 | 低楼层(共25层) | 2007年建 | 板塔结合,0人关注 / 3天以前发布,130,"10,656元/平"
长房云时代 边户 通透三房 两卫 诚心出售,长房云时代 -雷锋大道,3室2厅 | 116.14平米 | 南 | 简装 | 中楼层(共34层) | 2018年建 | 板塔结合,2人关注 / 5天以前发布,109,"9,386元/平"
南北通透，业主诚心出售，楼层好户型好,长盛岚庭 -新开铺,3室2厅 | 98.77平米 | 南 北 | 精装 | 中楼层(共18层) | 2011年建 | 板楼,0人关注 / 3天以前发布,93,"9,416元/平"
保利麓谷林语  精装  3房2厅2卫  中间楼层   诚心出售,保利麓谷林语B区 -麓谷西,3室2厅 | 123平米 | 南 | 简装 | 低楼层(共33层) | 2013年建 | 板塔结合,0人关注 / 3天以前发布,150,"12,196元/平"
金茂府 4室2厅 南 北,金茂府 -梅溪湖北岸,4室2厅 | 143.22平米 | 南 北 | 精装 | 中楼层(共46层) | 2014年建 | 板塔结合,1人关注 / 5天以前发布,350,"24,438元/平"
恒大绿洲 3室2厅 南 北,恒大绿洲 -武广新城,3室2厅 | 137.09平米 | 南 北 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 7天以前发布,174,"12,693元/平"
和庄新出3房，高区楼层，装修30个W,和庄 -新开铺,3室2厅 | 106.68平米 | 南 | 精装 | 中楼层(共32层) | 2008年建 | 板塔结合,1人关注 / 3天以前发布,98,"9,187元/平"
"鑫科明珠精装修  南北对流三室两厅两卫,房东急卖",鑫科明珠 -马王堆,3室2厅 | 113.88平米 | 南 | 精装 | 32层 | 2011年建 | 板塔结合,0人关注 / 4天以前发布,132,"11,592元/平"
岳麓山下花园别墅 户型周正 大花园大露台业主诚意出售,麓山恋迪亚溪谷 -含浦,6室2厅 | 334平米 | 南 北 | 毛坯 | 4层  | 暂无数据 | 联排别墅 ,3人关注 / 27天以前发布,285,"8,533元/平"
带别样花园65平 自住精装 小高层 纯板楼,长沙奥林匹克花园 -德思勤,3室2厅 | 141.17平米 | 南 | 精装 | 低楼层(共11层) | 2010年建 | 板楼,1人关注 / 22天以前发布,173,"12,255元/平"
托斯卡纳洋房 复式 自住装修 拎包入住,托斯卡纳 -喜盈门,5室2厅 | 211.46平米 | 南 | 精装 | 中楼层(共5层) | 2009年建 | 板楼,3人关注 / 16天以前发布,308,"14,566元/平"
五矿紫湖香醍 精装四房 带中空调满五唯一,五矿紫湖香醍 -暮云,4室2厅 | 138.19平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 23天以前发布,168,"12,158元/平"
带大露台，六号线地铁口100米，湘雅三医院，博才,英才园 -桐梓坡,5室2厅 | 222.6平米 | 南 | 简装 | 低楼层(共12层) | 1998年建 | 板楼,1人关注 / 23天以前发布,299,"13,433元/平"
业主当时自己住用心弄的装修，硬装实在，户型给力！,英祥春天 -福元西路,3室2厅 | 113.51平米 | 南 北 | 精装 | 高楼层(共18层) | 2011年建 | 板塔结合,0人关注 / 9天以前发布,105.8,"9,321元/平"
此房诚心出售，楼层好，视野开阔，采光充足，配套齐全,润和紫郡 -金星北,3室2厅 | 103.85平米 | 南 | 精装 | 低楼层(共33层) | 2013年建 | 塔楼,1人关注 / 20天以前发布,115,"11,074元/平"
高管局单位房，户型周正，得房率高,金色溪泉湾 -月湖,2室1厅 | 83.84平米 | 东南 | 其他 | 高楼层(共18层)  | 板塔结合,1人关注 / 29天以前发布,85,"10,139元/平"
自住精装修 家具电器齐全 满五唯一,泰禹云开壹品 -万家丽南路,4室2厅 | 117.42平米 | 南 北 | 精装 | 中楼层(共25层)  | 板塔结合,0人关注 / 24天以前发布,166.8,"14,206元/平"
绿洲比较难得的小三房，很适合刚出社会的小两口。,恒大绿洲 -武广新城,3室1厅 | 99.39平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,5人关注 / 23天以前发布,120.8,"12,155元/平"
高铁新城万科品质刚需3房，家门口上学，拎包入住,万科魅力之城 -武广新城,3室2厅 | 99.68平米 | 东南 | 精装 | 34层 | 2015年建 | 塔楼,1人关注 / 30天以前发布,128,"12,842元/平"
省府板块次新小区，九峰小区五区得房率高，湘府英才！,九峰远见 -省政府,3室2厅 | 116.25平米 | 南 北 | 毛坯 | 高楼层(共16层) | 2014年建 | 板塔结合,1人关注 / 23天以前发布,132,"11,355元/平"
碧桂园大开发商精装三房诚心出售看房方便,碧桂园南城首府 -万家丽南路,3室1厅 | 88.99平米 | 南 | 精装 | 33层  | 塔楼,1人关注 / 22天以前发布,97.8,"10,990元/平"
标题,开发商,房子信息,发布周期,售价/万,单价
滨江板块电梯中间楼层 两房 户型 采光好 交通便利,光明E城 -观沙岭,4室2厅 | 121.17平米 | 南 北 | 精装 | 低楼层(共31层) | 2014年建 | 板塔结合,1人关注 / 29天以前发布,180,"14,856元/平"
中上楼层 人车分流 满五唯一 正地铁口 安静不吵,湘府十城 -汽车南站,3室2厅 | 101.18平米 | 南 北 | 毛坯 | 中楼层(共18层) | 2014年建 | 板塔结合,1人关注 / 30天以前发布,113,"11,169元/平"
树木岭 新城新世界三期 边户小三房 拎包入住 不临街,新城新世界三期 -高桥,3室2厅 | 95平米 | 南 | 精装 | 高楼层(共33层) | 2013年建 | 塔楼,2人关注 / 31天以前发布,120,"12,632元/平"
业主急售 急售 急售 户型周正,中国铁建国际城 -泉塘,3室2厅 | 88.1平米 | 南 | 其他 | 低楼层(共33层) | 2010年建 | 板塔结合,1人关注 / 29天以前发布,65,"7,378元/平"
华润置地广场二期品质日系风格小三房，3房2卫满五唯一,华润置地广场二期 -开元路,3室2厅 | 88.7平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 29天以前发布,90.8,"10,237元/平"
户型周正，格局合理，保养很好，楼层好。,未来康桥长郡 -泉塘,3室2厅 | 104平米 | 南 北 | 精装 | 中楼层(共18层) | 2012年建 | 板塔结合,0人关注 / 29天以前发布,88,"8,462元/平"
滨江金融，位置优越，地铁口旁，凯德壹商场500米,当代滨江MOMA -滨江新城,3室2厅 | 114.86平米 | 南 | 精装 | 低楼层(共32层) | 2016年建 | 板塔结合,2人关注 / 26天以前发布,184,"16,020元/平"
次新小区 精装三房 金谷豪庭88平66万,金谷豪庭 -暮云,3室2厅 | 87.5平米 | 南 | 精装 | 中楼层(共16层)  | 暂无数据,1人关注 / 28天以前发布,65,"7,429元/平"
三卧朝南，单价六千多，有钥匙看房方便！,仁和家园 -新开铺,3室2厅 | 126.3平米 | 南 北 | 简装 | 中楼层(共7层) | 2002年建 | 板楼,0人关注 / 26天以前发布,86.8,"6,873元/平"
户型格局好，高楼层视野宽阔，配套设施齐全,中建桂苑金桂苑 -韶山南路,3室2厅 | 124.8平米 | 南 | 精装 | 高楼层(共11层) | 2006年建 | 板楼,0人关注 / 17天以前发布,98,"7,853元/平"
房子是万科金域蓝湾三期的次新房，三室两厅两卫户型。,万科金域蓝湾三期 -晚报,3室2厅 | 98平米 | 南 | 精装 | 高楼层(共30层) | 2016年建 | 塔楼,1人关注 / 1个月以前发布,135,"13,776元/平"
国防科大东门带门卫院子三房优价出售,邮电宿舍 -烈士公园,4室1厅 | 58.05平米 | 南 | 精装 | 高楼层(共7层) | 2000年建 | 板楼,1人关注 / 17天以前发布,48,"8,269元/平"
高桥品质小区+园林绿化佳+2梯2户板房+随时看房,尚东紫郡 -高桥,3室2厅 | 133.4平米 | 南 北 | 精装 | 高楼层(共29层) | 2009年建 | 塔楼,0人关注 / 19天以前发布,120,"8,996元/平"
保利毛坯4房3卫，一梯两户纯板楼南北通透，地铁口,保利麓谷林语E区 -麓谷西,4室2厅 | 137.86平米 | 南 北 | 其他 | 高楼层(共11层) | 2013年建 | 板塔结合,1人关注 / 17天以前发布,165,"11,969元/平"
精装3房2卫，高楼层采光视野好，看山体公园,保利麓谷林语E区 -麓谷西,3室1厅 | 109.67平米 | 南 北 | 精装 | 高楼层(共33层) | 2013年建 | 板楼,2人关注 / 17天以前发布,130,"11,854元/平"
房东诚心出售，湘一。含大车位，优质好房，环境好,水映加州依云郡 -青竹湖,2室2厅 | 81.99平米 | 南 | 精装 | 高楼层(共27层) | 2015年建 | 板塔结合,0人关注 / 28天以前发布,124.8,"15,222元/平"
上海城大四房，户型端正，无遮挡小区环境优美配套齐全,上海城 -韶山南路,4室2厅 | 136.26平米 | 南 | 精装 | 高楼层(共33层) | 2010年建 | 塔楼,0人关注 / 26天以前发布,148.8,"10,921元/平"
单位房正规三房 得房率高 房东诚心出售 随时看房子,市环保局宿舍 -马王堆,3室2厅 | 93.68平米 | 南 | 精装 | 5层  | 板楼,4人关注 / 28天以前发布,52.5,"5,605元/平"
指标可用，精装修（有视频），业主诚意出售 有车位！,钰龙天下二期 -观沙岭,4室2厅 | 121.75平米 | 南 | 精装 | 中楼层(共33层) | 2014年建 | 板楼,0人关注 / 22天以前发布,290,"23,820元/平"
鑫天格林香山 精装四房 诚心出售 装修好 楼层好。,鑫天格林香山 -暮云,4室2厅 | 130.08平米 | 南 北 | 精装 | 低楼层(共27层) | 2016年建 | 塔楼,2人关注 / 26天以前发布,90,"6,919元/平"
雨花亭商圈 户型楼层都很好 业主居家精装,云鼎公馆 -雨花亭,2室1厅 | 64.45平米 | 南 | 精装 | 高楼层(共32层) | 2012年建 | 板塔结合,1人关注 / 19天以前发布,69.8,"10,831元/平"
7号线地铁口花园小区朝南三房首付三十,上海城 -韶山南路,3室1厅 | 110.04平米 | 东南 | 简装 | 中楼层(共33层) | 2010年建 | 塔楼,0人关注 / 24天以前发布,106,"9,633元/平"
阳光丽城 清水毛坯三房 麓山 人车分流 滨江新城,阳光丽城 -观沙岭,3室2厅 | 89.62平米 | 南 | 毛坯 | 中楼层(共28层)  | 板塔结合,0人关注 / 18天以前发布,125,"13,948元/平"
基础完备，优价好房，业主诚心出售,长大彩虹都 -铁道学院,3室2厅 | 89.61平米 | 西北 | 简装 | 高楼层(共27层) | 2010年建 | 板塔结合,0人关注 / 28天以前发布,90.5,"10,100元/平"
必卖好房，精装可以拎包入住，东边户中间楼层随时看房,华润凤凰城二期 -开元路,3室2厅 | 97.2平米 | 南 北 | 精装 | 中楼层(共34层) | 2014年建 | 板塔结合,1人关注 / 16天以前发布,92.8,"9,548元/平"
公园旁 公交边 近地铁 商 业芯 安静有暖气,当代滨江MOMA -滨江新城,3室1厅 | 95.58平米 | 南 | 精装 | 高楼层(共32层) | 2016年建 | 板塔结合,1人关注 / 28天以前发布,141.8,"14,836元/平"
万科城从未入住小三房，满五唯一楼层好，业主诚心出售,万科城二期B区 -福元西路,3室2厅 | 91.42平米 | 南 北 | 精装 | 高楼层(共34层) | 2014年建 | 板塔结合,7人关注 / 28天以前发布,121.6,"13,302元/平"
急售 急售 市政府板块 次新小区 盛世耀凯 满五唯一,盛世耀凯 -河西人人乐,3室2厅 | 89.64平米 | 南 | 简装 | 中楼层(共27层) | 2014年建 | 板楼,0人关注 / 16天以前发布,98.8,"11,022元/平"
店长推荐，月亮岛精装湖景四房，满五唯一,恒大名都 -金星北,4室2厅 | 139.58平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,1人关注 / 20天以前发布,101,"7,236元/平"
南北通透，一梯两户，满五唯一，六号线600米,一品东庭 -高桥,3室2厅 | 117.88平米 | 南 北 | 简装 | 18层 | 2007年建 | 板楼,0人关注 / 18天以前发布,115,"9,756元/平"
标题,开发商,房子信息,发布周期,售价/万,单价
"湘峰广场优质二室一厅精装房,业主真诚出售",湘峰广场 -望城区,2室1厅 | 60.49平米 | 南 北 | 精装 | 中楼层(共29层)  | 板楼,1人关注 / 21天以前发布,38.8,"6,415元/平"
童话里小区，优质三房，户型周正，楼层好！,童话里 -新开铺,3室2厅 | 87.42平米 | 南 | 简装 | 中楼层(共31层) | 2012年建 | 板塔结合,1人关注 / 29天以前发布,89,"10,181元/平"
南北通透三房，东边户，一线河景房，省个税，随时看房,珠江郦城薰衣道 -福元西路,3室2厅 | 94.8平米 | 南 北 | 精装 | 高楼层(共32层) | 2015年建 | 板塔结合,0人关注 / 20天以前发布,120,"12,659元/平"
三号线地铁口旁配套成熟小区精装大三房带露台和杂物间,湘绣城 -中南汽车世界,3室2厅 | 114.39平米 | 南 | 精装 | 低楼层(共7层) | 2007年建 | 板楼,3人关注 / 28天以前发布,60,"5,246元/平"
房子真实在卖，看房方便，这几天会安排好,邮电新村 -火车站,3室2厅 | 86.06平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,4人关注 / 30天以前发布,54,"6,275元/平"
莱茵城A区新上房源全新装修南北通透采光充足,宜居莱茵城 -河西人人乐,3室2厅 | 119.69平米 | 南 北 | 精装 | 高楼层(共18层) | 2010年建 | 板塔结合,2人关注 / 18天以前发布,148,"12,366元/平"
雨花亭商圈桔园小区有单位院子二楼大三房,桔香苑 -雨花亭,3室2厅 | 126.64平米 | 南 | 精装 | 低楼层(共7层) | 2005年建 | 塔楼,2人关注 / 18天以前发布,88,"6,949元/平"
房东换房 房子是精装修楼层好房，两房户型周正视野好,金谷豪庭 -暮云,2室1厅 | 93.76平米 | 南 北 | 精装 | 高楼层(共14层)  | 板塔结合,0人关注 / 21天以前发布,65.3,"6,965元/平"
师大 9成新精装 红本在手 满五唯一,克拉美丽山庄 -新开铺,3室2厅 | 122.11平米 | 南 北 | 精装 | 高楼层(共31层) | 2012年建 | 塔楼,1人关注 / 27天以前发布,139.6,"11,433元/平"
万科城从未入住小三房，满五唯一楼层好，业主诚心出售,万科城二期B区 -福元西路,3室2厅 | 91.42平米 | 南 北 | 精装 | 高楼层(共34层) | 2014年建 | 板塔结合,7人关注 / 28天以前发布,121.6,"13,302元/平"
急售 急售 市政府板块 次新小区 盛世耀凯 满五唯一,盛世耀凯 -河西人人乐,3室2厅 | 89.64平米 | 南 | 简装 | 中楼层(共27层) | 2014年建 | 板楼,0人关注 / 16天以前发布,98.8,"11,022元/平"
此房满五唯一，中间楼层，采光视野没有遮挡，拎包入住,万科白鹭郡 -洋湖垸,3室2厅 | 91平米 | 南 | 精装 | 中楼层(共34层) | 2013年建 | 板塔结合,0人关注 / 30天以前发布,142.8,"15,693元/平"
精装三房带地暖，业主自住很诚心卖，视野开阔,荣盛花语馨苑 -麓谷西,3室2厅 | 87平米 | 南 | 精装 | 高楼层(共34层) | 2014年建 | 塔楼,0人关注 / 21天以前发布,97,"11,150元/平"
满五唯一 次新小区 大三房两卫 南北通透 清水毛胚,天元涉外景园 -枫林三路,3室2厅 | 98.04平米 | 南 北 | 毛坯 | 高楼层(共32层) | 2014年建 | 塔楼,0人关注 / 29天以前发布,120.01,"12,241元/平"
二环边，小高层，百万以内三居室，小区绿化好,长盛岚庭 -新开铺,3室2厅 | 96.27平米 | 南 | 简装 | 中楼层(共18层) | 2011年建 | 板楼,0人关注 / 18天以前发布,98,"10,180元/平"
南北通透，一梯两户，满五唯一，六号线600米,一品东庭 -高桥,3室2厅 | 117.88平米 | 南 北 | 简装 | 18层 | 2007年建 | 板楼,0人关注 / 18天以前发布,115,"9,756元/平"
三房两厅一卫 鑫苑名家 带装修 满五唯一 地铁口步步高,梅溪鑫苑名家 -东方红,3室2厅 | 90平米 | 南 | 简装 | 中楼层(共33层) | 2017年建 | 板塔结合,0人关注 / 16天以前发布,128,"14,223元/平"
业主急售 爵士湘高层三居室 视野好采光面大 欢迎看房,爵士湘 -泉塘,3室2厅 | 121.92平米 | 南 | 简装 | 中楼层(共32层) | 2011年建 | 板塔结合,0人关注 / 19天以前发布,82.8,"6,792元/平"
看洋湖景观房，品质小区，中间楼层，。。。。。。。,橡树湾小区 -含浦,3室2厅 | 93.48平米 | 南 | 毛坯 | 中楼层(共34层)  | 板塔结合,2人关注 / 23天以前发布,98,"10,484元/平"
18年次新装修 欧式简约风  业主诚心卖,南城印象 -喜盈门,3室2厅 | 90.35平米 | 南 | 其他 | 中楼层(共32层) | 2016年建 | 板塔结合,1人关注 / 29天以前发布,107.8,"11,932元/平"
